163,Excellent hotel location  but our garden room was at street level and had a rectangular glass panel adjacent to the door which was a mix of clear and opaque glass. This meant that passers by could see in to the beds - especially if the room was lit. We h
174,It was a lovely hotel and location but for a platinum hotel the rooms were quite dated  beechwood framing in room with formica tops  tiled floor in need of updating and bathroom and kitchen area as well.
602,Really enjoyed the holiday  the room was a good size and while not luxurious it was clean  though it was disappointing that the description of the hotel said all rooms had a sea view. We were on the ground floor overlooking a car park so we didn’t make a
857,We played £1800 for 4 nights at a 4? platinum hotel  the room was very basic no kettle  4 coat hangers smelly  no view  just a wall of bushes  large gap at base of door and very noisy . We can complained to our hotel manager and offered to up grade but t
501,Photographs on the Tui gallery were not representative to reality of the hotel conditions and standards. Our room was small and smelled damp and musty  furnishings were basic and dated  ants were present in the room  bathroom was old and dated with suspe
694,The organisation of the whole holiday package was very good. When we arrived  we were accommodated to our room immediately. The room was spacious  the balcony view wasn’t it’s biggest advantage though. Great location of the hotel  right by the sandy beac
837,just larval at hotel had to move room 3 times when we got the right room all was ok the 1st room all the wall was falling down
226,Pads on the roof terrace loungers! The room initially smelt of cigarette smoke  luckily I had some room spray and we left the windows open!
910,Our hotel room was very noisy we had a generator underneath that ran continually day and night . The rubbishbins were also located under us which were emptied every morning at 3.30am. Also because of the rubbishbins we could not have our patio doors open
843,Hotel and room was Beautifull
911,We had a great holiday and would recommend the Kalliston hotel. We would also love to return. A couple of points  the decor in our room was startinf to look tired. The seal on the shower door needed replacing as there water leaked through each time. We w
969,We stayed at the Levante Park Hotel. We were disturbed the next morning at around 6 am (and the next 3 mornings at around 6 am) by furniture being scraped around  doors slamming and people talking. We asked to change rooms on the first and on the 3rd day
311,The hotel was very clean  friendly staff and good deco. The food was of good standard. The room was cleaned thoroughly to a good standard  very pleased. We felt the superior twin room was below standard  compared to other rooms in other hotels. The air c
961,Hotel meticulously clean. The dining room well laid out and the assortment of food hot/cold was very good  something to suit everyone. Bedrooms were spacious @ well maintained. My only gripe would be the fridge  more like a cool box. Apart from that this
638,The smell in the rooms wasnt very nice it was coming from the drains in the bathroom also everything was closing as it was the final week of the season but the hotel still full of customers and when you book a holiday I would expect everything to still b
721,All arrangements went well. The hotel room maid service was extremely good. Most of the hotel was clean except the lounge sofas which were filthy  the arms were black and grubby which on a light grey or light orange color was pretty obvious. The main fru
576,We had a serious issue on arrival at our accommodation in that the room description we booked (1 Bedroom Apartment with Terrace and Sauna) was duplex-style  ie: on two levels  which was completely unsuitable for our young family. The photo when booking c
29,The Tui Rep in our resort was fantastic  the hotel unfortunately severely lacking in customer focused service. The hotel was not cleaned well  indeed on leaving our hotel room we found both a sock and a glass tumbler under the bed. Neither belonged to us
272,The holiday was great. Hotel and staff were fantastic. Very helpful great English Only thing is we got sold a sea view room and we were at the side with a partial see room if you leant over the balcony. And our room wasn't the newly renovated ones (we sa
754,The hotel  staff  food  room facilities were excellent. The room was very clean especially the bathroom  excellent wifi. We had an excellent day out in venice as arranged by pascal. We had a pick up problem at the airport but managed to get to the hotel.
42,We stayed at Riu Yucatan hotel definitely not a 5 star  room stunk of damp which made all my clothes smell foist! Staff lovely and friendly worked hard m
908,We think the location of the Hotel was Excellent close to shops & tourist information for Buses & for booking ferries The room was clean & tidy but lacked air conditioning the shower was adequate but bottom plug was loose and could have proved dangerous 
345,We had a brilliant time  apartment was clean and spacious for us and it wasn’t too noisy! We got our money’s worth!
907,The hotel needed to be upgraaded for old people ie no hand rails in bathroom to get in and out of the bath . The shower door had been fixed to the bath making it dificult to get in and out
711,Went to Niriides apartments in Psalidi Kos. Lovely 2 bedroomed apartment. Spotlessly clean. One downside  very noisy from building site outside our apartment. Luckily  we didn't spend anytime at apartment during the day.
876,Hotel room was not ok. Broken wall sockets  tv didn’t work at all  sofa in living room was damaged  one of the beds in the bedroom was in bed shape. Well the mattress not the bed. Luckily I took the room alone so could use the other one. Staff at the hot
826,We had booked two adjoining rooms for a family of four adults but when we checked in at the hotel we were offered a villa! Excellent accommodation  shared pool and a lovely restaurant by the sea for breakfast. The only improvements would be for the fligh
574,Flights and transfers were fine. Hotel was relatively clean but with a few minor faults. Fire alarm was activated on numerous occasions meaning numerous evacuations to reception to find they were false alarms. Balcony door would not lock and a couple of 
629,The hotel is defo not a 4*. Food was cold entire week. Bed sheets not changed even tho a cup of coffee was spilt all on it. Bathroom cleaned and beds made everyday day (apart from a wed) Floor never swept or mopped Balcony never swept or mopped No lights
658,The hotel staff were excellent. They were very friendly and extremely helpful. The foood was fantastic and the rooms were spacious  well ventilated and clean.
122,Hotel staff were friendly and helpful  they were sociable and able to resolve the issues we encountered. There were some problems with the accommodation  we were unable to lock the door at one point  the quality of some of the towels provided left someth
500,The hotel was lovely   but the only thing   one plug socket in room  my one and only thing I was not happy with.
124,Location of the hotel
170,On arrival at our hotel  after a 2 hour delay  we were assured by the disinterested rep that the hotel was open. So she jumped back on the coach and off she went! We were dumped in the dark and pouring rain  and the main door to the hotel was locked!!! A
239,I believed I had booked a side or sea view room. It was evident in conversation with the hotel before our arrival that this was not the case. Querying it with with TUI was unsatisfactory and the room we were allocated was disappointing and overpriced giv
858,the hotel was very noise
405,No issues apart from original room allocated was overlooking a building site
983,The hotel was excellent.  the food   the room and the staff. Our problem was with the evening entertainment. We found it so difficult to find out what was on offer that after the third evening we gave up and went to another bar. What we did encounter was
779,The hotel room were put in was so small it was definitely meant for a single person and it took 3 days for them to find us another room for us.The pillows were far to long for the bed they were hanging over the side of the bed on both sides .
116,On the first night at our hotel my 76 year old fit and healthy father fell approximately 2ft from a wall/large step onto concrete due to non existent lighting around the seating area. The rep advised there was some technical reason and lighting wasn’t po
106,The only negative I have from our holiday was our bathroom. Shower head kept falling down and not enough room in cubicle. Everything else was excellent. Michelle the customer relations was outstanding ????
416,the only downside of the holiday was on the last day  we had to be out our room by 12 oclock and our pick up wasnt untill 6.40 pm the only courtesy room was fully booked so we could not have a shower and get changed before we left this put a downer on ou
78,Overall I really enjoyed this holiday all the staff were really friendly and helpful some guests were complaining about cleanliness around the pool and rooms etc. The hotel staff jumped through hoops to address these complaints and started hosing down po
606,The rating on the hotel is not at all what I would expect of a tui / first choice 4* hotel. As a brand that prides itself on quality this hotel was sadly a let down for the expectations of your brand. It was tired  broken sun beds  needed some attention 
279,Aqua Fantasy Hotel in Turkey is definitely not 5 Star  accommodation was poor  broken bathroom toilet  shower. Pillow smelt of body odour  only one child had a duvet the other had a blanket covered in a duvet cover. Hotel was running out of supplies espe
376,Check in was good. Cabin crew very helpful and professional. Hotel was ok  but not great. All inclusive food and drinks not worth staying in most evening. We also had a lot of cockroaches in our room. Although the room was fumigated this didn't stop them
765,We didn't get much sleep because the walls were too thin and TVs too loud. The hotel food entertainment staff excellent. The only problem was next doors television on till 2.00am. People should keep volume low after 12.00. This problem was because no sou
707,The hotel was exactly as described. Check in was quick and straightforward and our cases were taken to our room while we had a drink and sandwich - appreciated at such a late hour and after a long journey.
390,Hotel  and satff were very nice - just very disappointed to have no mention of the building work going on next door
142,The hotel was a bit rundown.
912,The hotel was more like a ^3^ star hotel and not a 4 star hotel  the food was quiet basic  I asked for a double and got a twin room  there was hardly any provision made for adult entertainment  the adult part being BINGO. All in al a disappointing holida
449,Flight out the seat would not recline and the reading light was broken and would not come on . At the hotel the mattress was worn out with broken springs BUT was quickly replaced with a new memory foam mattress. Food was good and very varied. Evening ent
504,Hotel staff friendly  especially to children although we didn't have any. Wish the children's entertainment and adults were separate as couldn t hear it. Once half way through our room was made into a double instead of twin but this was corrected. Terrac
985,T.he Flight and transfer went well. The Hotel was a very good standard and service of the staff. The location of the Hotel was perfect for the beach and shops. The Room was very good. The Breakfast was excellent with a good choice. The only let down was 
945,The hotel rooms and staff were good  but we felt the hotel let it's clients down with the quality of the food and that the hot dishes were nearly always Luke warm at best and cold at worst. The range of drinks on the all inclusive was very small  no mart
913,Forgot to mention  the bed in the master bedroom requires attention. Extremely noisy when any sort of movement was made.
192,Great location  nice hotel  friendly staff  very clean and kept in good repair
975,Hotel was brilliant. Very clean and very good food. Made lots of new friends. Weather was excellent all week. Wish we had booked for a longer stay
